MOTS_ID  |MOTS_LUXEMBURGISCH  |MOTS_LUXEMBURGISCH_WSC  |MOTS_FRENCH  |MOTS_FRENCH_WSC  |MOTS_GERMAN  |MOTS_GERMAN_WSC  |MOTS_ENGLISH  |MOTS_ENGLISH_WSC  |MOTS_SPAIN  |MOTS_SPAIN_WSC  |MOTS_ITALIAN  |MOTS_ITALIAN_WSC  |MOTS_PORTUGUESE  |MOTS_PORTUGUESE_WSC  |INFINITIF_INDEX1  |INFINITIF_INDEX2  
452|aushänken=affichéieren, et hänkt aus|aushanken=afficheieren, et hankt aus|afficher|afficher|öffentlich aufhängen|offentlich aufhangen|to post up|to post up|anunciar|anunciar|affiggere|affiggere|afixar|afixar|null|null
453|aushéngeren, en héngert aus|aushengeren, en hengert aus|affamer, réduire par famine|affamer, reduire par famine|aushungern|aushungern|to starve|to starve|matar de hambre|matar de hambre|affamare|affamare|matar à fome|matar a fome|null|null
583|balucken=schiel sinn, e baluckt|balucken=schiel sinn, e baluckt|loucher|loucher|schielen|schielen|to squint|to squint|bizquear|bizquear|essere guercio/strabico|essere guercio/strabico|ser estrábico|ser estrabico|balucken|null
599|bannen=knieden, e bënnt|bannen=knieden, e bennt|nouer|nouer|festbinden|festbinden|to tie up, to knot|to tie up, to knot|anudar, lazar|anudar, lazar|annodare|annodare|dar um nó, atar|dar um no, atar|bannen|null
456|Ausland=Friemd|ausland=friemd|étranger|etranger|Ausland|ausland|abroad|abroad|extranjero|extranjero|estero|estero|estrangeiro|estrangeiro|null|null
457|Auslänner, Auslänner|auslanner, auslanner|étranger|etranger|Ausländer|auslander|foreigner|foreigner|extranjero|extranjero|straniero|straniero|estrangeiro|estrangeiro|null|null
458|auslännesch|auslannesch|étranger|etranger|ausländisch|auslandisch|foreign|foreign|extranjero|extranjero|straniero, estero|straniero, estero|estrangeiro|estrangeiro|null|null
628|bauen, e baut|bauen, e baut|construire, bâtir|construire, batir|bauen|bauen|to build|to build|construir, edificar|construir, edificar|costruire, erigere|costruire, erigere|construir|construir|bauen|null
460|ausmaachen=ausman, e mécht aus|ausmaachen=ausman, e mecht aus|éteindre|eteindre|ausmachen|ausmachen|to turn off|to turn off|apagar|apagar|spegnere|spegnere|apagar|apagar|null|null
461|Ausmooss=Weit=Gréisst|ausmooss=weit=greisst|ampleur|ampleur|Weite, Größe|weite, große|scale, size|scale, size|amplitud|amplitud|ampiezza|ampiezza|amplidão|amplidão|null|null
462|Ausna(h)m=Exceptioun, Ausna(h)men|ausna(h)m=exceptioun, ausna(h)men|exception|exception|Ausnahme|ausnahme|exception|exception|excepción|excepcion|eccezione|eccezione|excepção|excepção|null|null
609|baschten=auserneefueren=platzen, e bascht|baschten=auserneefueren=platzen, e bascht|éclater, crever, craqueler|eclater, crever, craqueler|bersten|bersten|to burst|to burst|reventar, estallar, agrietarse|reventar, estallar, agrietarse|scoppiare|scoppiare|furar, rebentar|furar, rebentar|baschten|null
465|auspéilen=ofgrenzen, e péilt aus|auspeilen=ofgrenzen, e peilt aus|délimiter|delimiter|abstecken, abgrenzen|abstecken, abgrenzen|to mark|to mark|acotar|acotar|delimitare un terreno|delimitare un terreno|delimitar, marcar|delimitar, marcar|null|null
466|auspressen=ausdrécken, e presst aus|auspressen=ausdrecken, e presst aus|presser|presser|auspressen|auspressen|to squeeze|to squeeze|estrujar, apretar|estrujar, apretar|spremere|spremere|espremer|espremer|null|null
467|Auspuff, Auspuffen|auspuff, auspuffen|tuyau d’échappement|tuyau d’echappement|Auspuff|auspuff|exhaust, pipe|exhaust, pipe|tubo de escape|tubo de escape|tubo di scappamento|tubo di scappamento|tubo de escape|tubo de escape|null|null
468|Ausraiberen|ausraiberen|pillage|pillage|Plünderung|plunderung|pillage, plunder|pillage, plunder|saqueo|saqueo|saccheggio|saccheggio|pilhagem|pilhagem|null|null
469|ausraiberen, e raibert aus|ausraiberen, e raibert aus|dévaliser|devaliser|ausräubern, ausrauben|ausraubern, ausrauben|to rob|to rob|desvalijar, robar|desvalijar, robar|rubare, svaligiare|rubare, svaligiare|roubar|roubar|null|null
646|béchsen, e béchst|bechsen, e bechst|bûcher, bachoter|bûcher, bachoter|büffeln|buffeln|to cram|to cram|empollar|empollar|sgobbare (per gli studenti)|sgobbare (per gli studenti)|trabalhar com afinco|trabalhar com afinco|béchsen|null
649|bécken(sech)=s. béien, e béckt sech|becken(sech)=s. beien, e beckt sech|se baisser|se baisser|sich bücken, sich beugen, sich knien|sich bucken, sich beugen, sich knien|to bend|to bend|agacharse|agacharse|abbassarsi, chinarsi|abbassarsi, chinarsi|abaixar­se|abaixar­se|bécken (sech)|null
472|ausrëselen, e rëselt aus|ausreselen, e reselt aus|secouer|secouer|ausschütteln|ausschutteln|to shake out|to shake out|sacudir|sacudir|scuotere|scuotere|sacudir|sacudir|null|null
473|ausrieden, e riet him et aus|ausrieden, e riet him et aus|dissuader qqn.|dissuader qqn.|ausreden|ausreden|to dissuade s. o.|to dissuade s. o.|disuadir|disuadir|dissuadere|dissuadere|dissuadir|dissuadir|null|null
474|ausrouen(sech)=s. erblosen, e rout sech aus|ausrouen(sech)=s. erblosen, e rout sech aus|se reposer|se reposer|sich ausruhen|sich ausruhen|to rest|to rest|descansar|descansar|riposarsi|riposarsi|descansar|descansar|null|null
475|ausrutschen, e rëtscht aus|ausrutschen, e retscht aus|glisser|glisser|ausrutschen|ausrutschen|to slip, to slide|to slip, to slide|patinar|patinar|scivolare|scivolare|patinar, deslizar|patinar, deslizar|null|null
651|bedaueren=leeddoen=regrettéieren, e bedauert|bedaueren=leeddoen=regretteieren, e bedauert|plaindre, regretter|plaindre, regretter|bedauern, leidtun|bedauern, leidtun|to pity|to pity|compadecer|compadecer|lamentare|lamentare|lamentar|lamentar|bedaueren|null
477|ausschléissen=verbannen, e schléisst aus|ausschleissen=verbannen, e schleisst aus|bannir|bannir|verbannen|verbannen|to banish|to banish|desterrar|desterrar|bandire|bandire|desterrar|desterrar|null|null
478|ausschlofen, e schléift aus|ausschlofen, e schleift aus|dormir son content|dormir son content|ausschlafen|ausschlafen|to have a good sleep|to have a good sleep|dormir a pata suelta|dormir a pata suelta|dormire a sazietà|dormire a sazieta|dormir a sono solto|dormir a sono solto|null|null
479|Ausschnëtt=Extrait=Auszuch, Ausschnëtter|ausschnett=extrait=auszuch, ausschnetter|extrait, section|extrait, section|Ausschnitt, Auszug|ausschnitt, auszug|section, extract|section, extract|sección, pasaje, trozo|seccion, pasaje, trozo|sezione, estratto|sezione, estratto|secção, excerto, trecho|secção, excerto, trecho|null|null
480|ausser=ausbehalen=bis op|ausser=ausbehalen=bis op|sauf, excepté|sauf, excepte|außer|außer|except|except|salvo|salvo|eccetto|eccetto|excepto|excepto|null|null
481|ausserdeem=zousätzlech=niewebäi=iwwregens|ausserdeem=zousatzlech=niewebai=iwwregens|en passant, accessoirement|en passant, accessoirement|nebenbei, außerdem|nebenbei, außerdem|by the way, casually|by the way, casually|a propósito, marginal|a proposito, marginal|per inciso, inoltre|per inciso, inoltre|a propósito, marginal|a proposito, marginal|null|null
482|aussergewéinlech|aussergeweinlech|extraordinaire|extraordinaire|außergewöhnlich|außergewohnlich|extraordinary|extraordinary|extraordinario|extraordinario|straordinario|straordinario|extraordinário|extraordinario|null|null
483|Ausso=Declaratioun, Aussoen|ausso=declaratioun, aussoen|déposition, déclaration|deposition, declaration|Aussage|aussage|deposition, evidence|deposition, evidence|declaración|declaracion|dichiarazione, desposizione|dichiarazione, desposizione|deposição, declaração|deposição, declaração|null|null
654|bedeelegen(sech)=s. associéieren, e bedeelegt sech|bedeelegen(sech)=s. associeieren, e bedeelegt sech|s'associer|s'associer|sich anschließen, sich beteiligen|sich anschließen, sich beteiligen|to join|to join|asociarse|asociarse|associarsi|associarsi|associar-se|associar-se|bedeelegen (sech)|null
485|ausspionéieren=beobachten=bekucken, e spionéiert aus|ausspioneieren=beobachten=bekucken, e spioneiert aus|dévisager, fixer|devisager, fixer|scharf ansehen, genau ansehen|scharf ansehen, genau ansehen|to stare at|to stare at|mirar de hito en hito|mirar de hito en hito|guardare, osservare|guardare, osservare|fitar, olhar|fitar, olhar|null|null
486|ausspriechen=prononcéieren, e sprécht aus|ausspriechen=prononceieren, e sprecht aus|prononcer|prononcer|aussprechen|aussprechen|to pronounce|to pronounce|pronunciar|pronunciar|pronunciare|pronunciare|pronunciar|pronunciar|null|null
487|Aussprooch=Prononciatioun=Diktioun|aussprooch=prononciatioun=diktioun|prononciation, élocution|prononciation, elocution|Aussprache|aussprache|pronunciation|pronunciation|pronunciación|pronunciacion|pronuncia|pronuncia|pronúncia|pronuncia|null|null
488|ausspullen=schwenken, e spullt aus|ausspullen=schwenken, e spullt aus|rincer|rincer|ausspülen|ausspulen|to rinse|to rinse|aclarar|aclarar|sciacquare|sciacquare|enxaguar|enxaguar|null|null
489|ausstellen=exposéieren, e stellt aus|ausstellen=exposeieren, e stellt aus|exposer|exposer|ausstellen|ausstellen|to exhibit|to exhibit|exponer|exponer|esporre|esporre|expor|expor|null|null
490|Ausstellung=Expositioun, Ausstellungen|ausstellung=expositioun, ausstellungen|exposition|exposition|Ausstellung|ausstellung|exhibition|exhibition|exposición, muestra|exposicion, muestra|mostra|mostra|exposição|exposição|null|null
491|ausstierwen, e stierft aus|ausstierwen, e stierft aus|en voie de disparition|en voie de disparition|aussterben|aussterben|to become extinct, to die out|to become extinct, to die out|en extinción, desaparecer|en extincion, desaparecer|estinguere|estinguere|em vias de extinção|em vias de extinção|null|null
492|aussträichen=sträichen, e sträicht aus|ausstraichen=straichen, e straicht aus|rayer|rayer|streichen|streichen|to cancel|to cancel|rayar|rayar|cancellare|cancellare|riscar|riscar|null|null
493|Austausch=Echange=Tosch|austausch=echange=tosch|échange|echange|Austausch|austausch|exchange|exchange|cambio|cambio|baratto|baratto|troco|troco|null|null
494|Auster, Austeren|auster, austeren|huître|huitre|Auster|auster|oyster|oyster|ostra|ostra|ostrica|ostrica|ostra|ostra|null|null
495|Ausverkaf=Solden|ausverkaf=solden|soldes|soldes|Ausverkauf|ausverkauf|sales (clearance)|sales (clearance)|rebajas|rebajas|saldi|saldi|saldos|saldos|null|null
496|auswäichen=meiden=evitéieren, e wäicht aus|auswaichen=meiden=eviteieren, e waicht aus|éviter|eviter|ausweichen|ausweichen|to dodge|to dodge|evitar|evitar|evitare|evitare|evitar|evitar|null|null
497|auswanderen=emigréieren, e wandert aus|auswanderen=emigreieren, e wandert aus|émigrer|emigrer|auswandern|auswandern|to emigrate|to emigrate|emigrar|emigrar|emigrare|emigrare|emigrar|emigrar|null|null
498|auswenneg=blannemännches|auswenneg=blannemannches|par coeur|par coeur|auswendig|auswendig|by heart|by heart|de memoria|de memoria|a memoria|a memoria|de memória|de memoria|null|null
667|beetschen=schloen=haen=zerschloen=lasszéien, e beetscht|beetschen=schloen=haen=zerschloen=lasszeien, e beetscht|frapper, battre|frapper, battre|schlagen|schlagen|to hit|to hit|golpear, pegar|golpear, pegar|battere|battere|bater|bater|beetschen|null
500|Auswiel=Choix=Wiel|auswiel=choix=wiel|choix|choix|Auswahl|auswahl|choice|choice|selección|seleccion|scelta|scelta|escolha|escolha|null|null
501|auszeechnen(sech)=s. ervirdoen, en zeechent sech aus|auszeechnen(sech)=s. ervirdoen, en zeechent sech aus|se distinguer|se distinguer|sich auszeichnen|sich auszeichnen|to distinguish o.s.|to distinguish o.s.|distinguirse|distinguirse|distinguersi|distinguersi|distinguir­se|distinguir­se|null|null
502|Auszuch=Ausschnëtt=Extrait, Auszich|auszuch=ausschnett=extrait, auszich|extrait, section|extrait, section|Ausschnitt, Auszug|ausschnitt, auszug|section, extract|section, extract|sección, pasaje, trozo|seccion, pasaje, trozo|sezione, estratto|sezione, estratto|secção, exerto, trecho|secção, exerto, trecho|null|null
503|authentesch=echt|authentesch=echt|véritable, authentique|veritable, authentique|echt|echt|real, genuine|real, genuine|genuino, autentico|genuino, autentico|autentico|autentico|autêntico|autentico|null|null
504|Auto=Won, Autoen|auto=won, autoen|auto|auto|Auto|auto|car|car|coche|coche|automobile|automobile|automóvel, carro|automovel, carro|null|null
505|Autobunn, Autobunnen|autobunn, autobunnen|autoroute|autoroute|Autobahn|autobahn|motorway|motorway|autopista|autopista|autostrada|autostrada|auto­estrada|auto­estrada|null|null
506|Autofuerer=Chauffer, Autofuerer|autofuerer=chauffer, autofuerer|conducteur d’auto, chauffeur|conducteur d’auto, chauffeur|Autofahrer|autofahrer|driver|driver|conductor|conductor|autista, conducente|autista, conducente|condutor|condutor|null|null
507|autonom=eegestänneg=selbstänneg=onofhängeg|autonom=eegestanneg=selbstanneg=onofhangeg|autonome|autonome|unabhängig|unabhangig|autonomous|autonomous|autónomo|autonomo|autonomo|autonomo|autónomo|autonomo|null|null
508|autoriséieren=erlaben, en autoriséiert|autoriseieren=erlaben, en autoriseiert|permettre, autoriser|permettre, autoriser|erlauben|erlauben|to permit, to allow|to permit, to allow|permitir|permitir|autorizzare, permettere|autorizzare, permettere|permitir, autorizar|permitir, autorizar|null|null
509|Avance=Virspronk, Avancen|avance=virspronk, avancen|avance|avance|Vorsprung|vorsprung|lead, advance|lead, advance|avance, adelanto|avance, adelanto|vantaggio|vantaggio|avanço|avanço|null|null
761|beréieren=derwidderkommen, e beréiert|bereieren=derwidderkommen, e bereiert|toucher|toucher|berühren|beruhren|to touch|to touch|tocar|tocar|toccare|toccare|tocar|tocar|beréieren|null
511|Avantage=Virdeel, Avantagen|avantage=virdeel, avantagen|avantage|avantage|Vorteil|vorteil|advantage|advantage|ventaja|ventaja|vantaggio|vantaggio|vantagem|vantagem|null|null
512|avantagéis=gënschteg|avantageis=genschteg|avantageux, favorable, propice|avantageux, favorable, propice|günstig, vorteilhaft|gunstig, vorteilhaft|favourable, suitable|favourable, suitable|favorable, propicio|favorable, propicio|favorevole|favorevole|favorável, propício|favoravel, propicio|null|null
513|Avenir=Zukunft=Futur|avenir=zukunft=futur|avenir|avenir|Zukunft|zukunft|future|future|futuro|futuro|futuro|futuro|futuro|futuro|null|null
514|Aventure=Abenteuer, Aventuren|aventure=abenteuer, aventuren|aventure|aventure|Abenteuer|abenteuer|adventure|adventure|aventura|aventura|avventura|avventura|aventura|aventura|null|null
515|Avenue, Avenuen|avenue, avenuen|avenue|avenue|Allee, Straße|allee, straße|avenue|avenue|avenida|avenida|viale|viale|avenida|avenida|null|null
516|averstanen=d'accord=sech eens sinn|averstanen=d'accord=sech eens sinn|d’accord|d’accord|einverstanden|einverstanden|all right|all right|de acuerdo, vale|de acuerdo, vale|d’accordo|d’accordo|de acordo|de acordo|null|null
517|avertéieren=Bescheed ginn=warnen=ënnerriichten, en avertéiert|averteieren=bescheed ginn=warnen=ennerriichten, en averteiert|renseigner, aviser, avertir|renseigner, aviser, avertir|Bescheid geben|bescheid geben|to inform|to inform|avisar|avisar|avvisare|avvisare|avisar|avisar|null|null
518|Avertissement=Verwäis=Warnung, Avertissementen|avertissement=verwais=warnung, avertissementen|avertissement|avertissement|Warnung|warnung|warning|warning|advertencia|advertencia|avvertimento|avvertimento|aviso|aviso|null|null
519|Avion=Fliger, Avionen|avion=fliger, avionen|avion|avion|Flugzeug|flugzeug|aeroplane|aeroplane|avión|avion|aereo|aereo|avião|avião|null|null
520|avortéieren=ofdreiwen, si avortéiert|avorteieren=ofdreiwen, si avorteiert|avorter|avorter|abtreiben|abtreiben|to abort|to abort|abortar|abortar|abortire|abortire|abortar|abortar|null|null
521|Avortement=Ofdreiwung, Avortementen=Avortementer|avortement=ofdreiwung, avortementen=avortementer|avortement|avortement|Abtreibung|abtreibung|abortion|abortion|aborto|aborto|aborto|aborto|aborto|aborto|null|null
522|Awar!=Awuer!=Äddi!|awar!=awuer!=addi!|au revoir|au revoir|auf Wiedersehen|auf wiedersehen|goodbye|goodbye|hasta la vista|hasta la vista|arrivederci|arrivederci|adeus|adeus|null|null
523|aweechen=wässeren, e weecht an|aweechen=wasseren, e weecht an|amollir, tremper|amollir, tremper|einweichen|einweichen|to soften, to soak|to soften, to soak|ablandar, dejar en remojo|ablandar, dejar en remojo|mettere in ammollo|mettere in ammollo|amolecer, pôr de molho|amolecer, por de molho|null|null
524|aweien=inauguréieren, e weit an|aweien=inaugureieren, e weit an|inaugurer|inaugurer|einweihen|einweihen|to inaugurate|to inaugurate|inaugurar|inaugurar|inaugurare|inaugurare|inaugurar|inaugurar|null|null
675|begéinen=treffen, e begéint|begeinen=treffen, e begeint|rencontrer|rencontrer|begegnen|begegnen|to meet|to meet|encontrar|encontrar|incontrare|incontrare|encontrar|encontrar|begéinen|begéinen
526|Awëllegung=Zouso=Accord=Zoustëmmung, Awëllegungen|awellegung=zouso=accord=zoustemmung, awellegungen|consentement|consentement|Zustimmung, Einwilligung|zustimmung, einwilligung|approval|approval|consentimiento|consentimiento|consenso|consenso|consentimento|consentimento|null|null
527|awer, an awer=trotzdem=dach=nawell|awer, an awer=trotzdem=dach=nawell|cependant, pourtant|cependant, pourtant|doch|doch|however|however|sin embargo, pues|sin embargo, pues|tuttavia, lo stesso, sì!|tuttavia, lo stesso, sì!|contudo, todavia|contudo, todavia|null|null
528|awer=ower=mee=mais=iewel|awer=ower=mee=mais=iewel|mais|mais|aber|aber|but|but|pero|pero|ma, però|ma, però|mas|mas|null|null
529|Awerglawen|awerglawen|superstition|superstition|Aberglaube|aberglaube|superstition|superstition|superstición|supersticion|superstizione|superstizione|superstição|superstição|null|null
530|Awuer!=Awar!=Äddi!|awuer!=awar!=addi!|au revoir|au revoir|auf Wiedersehen|auf wiedersehen|goodbye|goodbye|hasta la vista|hasta la vista|arrivederci|arrivederci|adeus|adeus|null|null
531|Awunner, Awunner|awunner, awunner|habitant|habitant|Einwohner|einwohner|inhabitant|inhabitant|habitante|habitante|abitante|abitante|habitante|habitante|null|null
532|Baach, Baachen|baach, baachen|ruisseau|ruisseau|Bach|bach|brook, stream|brook, stream|riachuelo, arroyo|riachuelo, arroyo|ruscello|ruscello|regato, ribeiro|regato, ribeiro|null|null
533|Baachfrell, Baachfrellen|baachfrell, baachfrellen|truite de rivière|truite de riviere|Bachforelle|bachforelle|trout|trout|trucha|trucha|trota|trota|truta|truta|null|null
534|baang=fäertereg=ängschtlech|baang=faertereg=angschtlech|craintif, peureux|craintif, peureux|bange|bange|fearful, timorous|fearful, timorous|temeroso|temeroso|pauroso|pauroso|medroso, receoso|medroso, receoso|null|null
535|Baarf, Baarwen|baarf, baarwen|barbeau|barbeau|Barbe|barbe|barbel|barbel|barbo|barbo|ruffiano, barbo|ruffiano, barbo|barbo|barbo|null|null
536|Baarmhäerzegkeet=Nächsteléift|baarmhaerzegkeet=nachsteleift|charité|charite|Nächstenliebe|nachstenliebe|charity|charity|caridad|caridad|misericordia, carità|misericordia, carita|caridade|caridade|null|null
537|Baart man=s. raséieren, e mécht de Baart|baart man=s. raseieren, e mecht de baart|se raser|se raser|sich rasieren|sich rasieren|to shave|to shave|afeitarse|afeitarse|fare la barba|fare la barba|fazer a barba|fazer a barba|null|null
538|Baart, Bäert|baart, baert|barbe|barbe|Bart|bart|beard|beard|barba|barba|barba|barba|barba|barba|null|null
539|Baartbiischt, Baartbiischten|baartbiischt, baartbiischten|blaireau|blaireau|Rasierpinsel|rasierpinsel|shaving­brush|shaving­brush|brocha de afeitar|brocha de afeitar|pennello da barba|pennello da barba|pincel da barba|pincel da barba|null|null
540|Baasch, Baaschen|baasch, baaschen|bâche|bache|Plane|plane|cover|cover|toldo, lona|toldo, lona|telone|telone|toldo|toldo|null|null
541|babbelen=poteren=tozen=s. ënnerhalen, e babbelt|babbelen=poteren=tozen=s. ennerhalen, e babbelt|bavarder, babiller|bavarder, babiller|schwatzen|schwatzen|to chat, to talk|to chat, to talk|charlar|charlar|ciangottare, parlottare|ciangottare, parlottare|falar, conversar|falar, conversar|null|null
542|Bac=Kiwwel, Backen|bac=kiwwel, backen|bac|bac|Kübel|kubel|bin|bin|cubo|cubo|vasca|vasca|bacia, cuba|bacia, cuba|null|null
543|Bäcker, Bäcker|backer, backer|boulanger|boulanger|Bäcker|backer|baker (m)|baker (m)|panadero|panadero|panettiere|panettiere|padeiro|padeiro|null|null
544|Bäckerei, Bäckereien|backerei, backereien|boulangerie|boulangerie|Bäckerei|backerei|baker’s|baker’s|panadería|panaderia|panificio|panificio|padaria|padaria|null|null
545|Bäckesch, Bäckeschen|backesch, backeschen|boulangère|boulangere|Bäckersfrau|backersfrau|baker (f)|baker (f)|panadera|panadera|fornaia|fornaia|padeira|padeira|null|null
546|Bad, Bieder|bad, bieder|bain|bain|Bad|bad|bath|bath|baño|baño|bagno|bagno|banho|banho|null|null
547|Badge=Pinn=Ofzeechen, Badgen|badge=pinn=ofzeechen, badgen|badge|badge|Anstecknadel, Pinn|anstecknadel, pinn|badge|badge|chapa|chapa|distintivo|distintivo|crachat|crachat|null|null
678|begleeden=matgoen, e begleet|begleeden=matgoen, e begleet|accompagner|accompagner|begleiten|begleiten|to accompany|to accompany|acompañar|acompañar|accompagnare|accompagnare|acompanhar|acompanhar|begleeden|null
549|Bagage=Gepäck, Bagagen|bagage=gepack, bagagen|bagage(s)|bagage(s)|Gepäck|gepack|luggage|luggage|equipaje|equipaje|bagaglio|bagaglio|bagagem|bagagem|null|null
550|Bagatell=Klengegkeet=Bricole, Bagatellen|bagatell=klengegkeet=bricole, bagatellen|bagatelle|bagatelle|Kleinigkeit|kleinigkeit|trifle|trifle|bagatela|bagatela|bagatella, piccolezza|bagatella, piccolezza|bagatela|bagatela|null|null
551|Bagger, Baggeren|bagger, baggeren|pelle mécanique|pelle mecanique|Bagger|bagger|digger, dredger|digger, dredger|pala mecánica, escavadora|pala mecanica, escavadora|ruspa|ruspa|pá mecânica|pa mecanica|null|null
552|bäibréngen=ënnerriichten=antriichteren, e bréngt em eppes bäi|baibrengen=ennerriichten=antriichteren, e brengt em eppes bai|inculquer|inculquer|eintrichtern|eintrichtern|to hammer into one’s mind|to hammer into one’s mind|inculcar|inculcar|inculcare|inculcare|inculcar|inculcar|null|null
553|Bäichelchen=Tromm=Panz, Bäichelcher|baichelchen=tromm=panz, baichelcher|bedaine|bedaine|Bäuchlein|bauchlein|tummy|tummy|vientre, barriga|vientre, barriga|ventre|ventre|barriga|barriga|null|null
554|bäidroen, en dréit bäi|baidroen, en dreit bai|contribuer|contribuer|beitragen|beitragen|to contribute|to contribute|contribuir|contribuir|contribuire|contribuire|contribuir|contribuir|null|null
555|Bäifall=Applaus=Klappen|baifall=applaus=klappen|applaudissements|applaudissements|Applaus, Beifall|applaus, beifall|applause|applause|aplauso|aplauso|applauso|applauso|aclamação, aplauso|aclamação, aplauso|null|null
556|bäiginn=derbäiman, e gëtt bäi|baiginn=derbaiman, e gett bai|ajouter|ajouter|hinzufügen|hinzufugen|to add|to add|añadir|añadir|aggiungere|aggiungere|acrescentar, juntar|acrescentar, juntar|null|null
557|bäigoen=veronglécken=arennen, e geet bäi|baigoen=veronglecken=arennen, e geet bai|percuter|percuter|aufprallen|aufprallen|to crash|to crash|estrellarse|estrellarse|scontrarsi con, fare un incidente|scontrarsi con, fare un incidente|estampar­se|estampar­se|null|null
558|Bäihëllef=Zoulag=Allocatioun=Subside, Bäihëllefen|baihellef=zoulag=allocatioun=subside, baihellefen|allocation, subside|allocation, subside|Zulage|zulage|allowance|allowance|subsidio|subsidio|sussidio|sussidio|subsídio|subsidio|null|null
683|begruewen, e begrueft=e begrieft|begruewen, e begrueft=e begrieft|enterrer|enterrer|begraben|begraben|to bury|to bury|enterrar|enterrar|seppellire|seppellire|enterrar|enterrar|begruewen|null
560|Bäileed=Matgefill=Condoleancen|baileed=matgefill=condoleancen|condoléances|condoleances|Anteilnahme, Beileid|anteilnahme, beileid|condolences, sympathy|condolences, sympathy|pésame|pesame|condoglianza|condoglianza|condolências, pêsames|condolencias, pesames|null|null
561|Bäiluecht=Ajoute, Bäiluechten|bailuecht=ajoute, bailuechten|appendice, ajoute|appendice, ajoute|Anhang|anhang|appendix|appendix|apéndice|apendice|appendice|appendice|anexo, apêndice|anexo, apendice|null|null
562|Baisse=Réckgank, Baissen|baisse=reckgank, baissen|baisse|baisse|Senkung, Verminderung|senkung, verminderung|fall, drop|fall, drop|baja|baja|diminuzione|diminuzione|baixa, descida|baixa, descida|null|null
874|bieden, e biet|bieden, e biet|prier|prier|beten|beten|to pray|to pray|rezar|rezar|pregare|pregare|rezar|rezar|bieden|null
564|bäissen=kribbelen, et bäisst|baissen=kribbelen, et baisst|démanger|demanger|jucken|jucken|to itch|to itch|escocer|escocer|prudere|prudere|dar comichão|dar comichão|null|null
565|bäistoen=assistéieren=hëllefen, e steet bäi|baistoen=assisteieren=hellefen, e steet bai|aider, secourir, assister|aider, secourir, assister|helfen, beistehen|helfen, beistehen|to help, to assist, to attend|to help, to assist, to attend|ayudar, asistir|ayudar, asistir|aiutare, assistere|aiutare, assistere|ajudar, assistir|ajudar, assistir|null|null
566|Bäitrag=Cotisatioun, Bäiträg|baitrag=cotisatioun, baitrag|cotisation|cotisation|Mitgliedsbeitrag|mitgliedsbeitrag|dues|dues|cuota|cuota|quota|quota|quota|quota|null|null
567|bäiwunnen=ënnerstëtzen=assistéieren=do sinn=hëllefen, e wunnt bäi|baiwunnen=ennerstetzen=assisteieren=do sinn=hellefen, e wunnt bai|assister|assister|zugegen sein|zugegen sein|to attend|to attend|asistir|asistir|assistere|assistere|assistir|assistir|null|null
568|Bak, Baken|bak, baken|joue|joue|Backe, Wange|backe, wange|cheek|cheek|mejilla|mejilla|guancia|guancia|bochecha, face|bochecha, face|null|null
569|Bak, eng op de Bak=eng an d'Akaul|bak, eng op de bak=eng an d'akaul|gifle|gifle|Ohrfeige|ohrfeige|slap|slap|bofetada|bofetada|schiaffo|schiaffo|bofetada|bofetada|null|null
689|behuelen(sech)=s. opféieren=s. verhalen, e behëlt sech|behuelen(sech)=s. opfeieren=s. verhalen, e behelt sech|se comporter|se comporter|sich benehmen|sich benehmen|to behave|to behave|comportarse|comportarse|comportarsi|comportarsi|comportar­se|comportar­se|behuelen (sech)|null
571|Bakterie, Bakterien|bakterie, bakterien|bactérie|bacterie|Bakterie|bakterie|bacterium|bacterium|bacteria|bacteria|batterio|batterio|bactéria|bacteria|null|null
572|Bakuewen=Schäffchen, Bakiewen|bakuewen=schaffchen, bakiewen|four|four|Backofen|backofen|oven|oven|horno|horno|forno|forno|forno|forno|null|null
573|Bakzant, Bakzänn|bakzant, bakzann|molaire|molaire|Backenzahn|backenzahn|molar|molar|molar|molar|molare|molare|molar|molar|null|null
574|bal d'selwecht=ähnlech|bal d'selwecht=ahnlech|analogue, semblable|analogue, semblable|ähnlich|ahnlich|similar|similar|análogo|analogo|analogo|analogo|análogo|analogo|null|null
575|bal ëmmer=meeschtens|bal emmer=meeschtens|la plupart du temps|la plupart du temps|meistens|meistens|mostly|mostly|la mayor parte del tiempo|la mayor parte del tiempo|il più delle volte|il più delle volte|a maior parte do tempo|a maior parte do tempo|null|null
576|Bal, Baler|bal, baler|bal|bal|Ball|ball|dance|dance|baile|baile|ballo|ballo|baile|baile|null|null
577|bal=geschwënn=gläich|bal=geschwenn=glaich|bientôt|bientot|bald|bald|soon|soon|pronto|pronto|fra poco|fra poco|em breve|em breve|null|null
578|bal=quasi=souzesoen|bal=quasi=souzesoen|presque|presque|fast|fast|almost|almost|casi, pronto|casi, pronto|quasi|quasi|quase|quase|null|null
579|Balkon, Balkonen|balkon, balkonen|balcon|balcon|Balkon|balkon|balcony|balcony|balcón|balcon|balcone|balcone|varanda|varanda|null|null
580|Ball, Bäll|ball, ball|ballon, balle|ballon, balle|Ball|ball|ball|ball|balón, pelota|balon, pelota|pallone|pallone|bola|bola|null|null
